10
5579563871093375|596436561650|aiypupdx783|0000005000
8218828757464060|632336415250|etaxqcwy718|0000007000
2534623091197361|091450237770|plcvsenh752|0000001000
7928356998412018|233056605570|asjroioa341|0000001000
4823631499006843|409174546890|ynhufwqo833|0000009000
4929430498105680|481557545200|nosthdbc504|0000004000
8150786291080035|954497765920|flfsezwk565|0000003000
9094639014083624|225049059940|nloymmdh682|0000003000
8987770842401291|834973631870|inwsaofm953|0000001000
1606767999863955|515376454470|dtxhueqg88|0000003000
